Name,Nominal Frequency,Actual Frequency,Resistance
PB20.13.28_Comb28Ch01,1674041.752703,NaN,NaN
PB20.13.28_Comb28Ch02,1720657.353289,NaN,NaN
PB20.13.28_Comb28Ch03,1762847.905047,NaN,NaN
PB20.13.28_Comb28Ch04,1819229.130633,1819229.1259765625,12.838818967827743
PB20.13.28_Comb28Ch05,1931762.699969,NaN,NaN
PB20.13.28_Comb28Ch06,1983489.994891,NaN,NaN
PB20.13.28_Comb28Ch07,2039031.987078,NaN,NaN
PB20.13.28_Comb28Ch08,2096405.033953,NaN,NaN
PB20.13.28_Comb28Ch09,2151489.262469,NaN,NaN
PB20.13.28_Comb28Ch10,2212753.300555,NaN,NaN
PB20.13.28_Comb28Ch11,2279891.97243,NaN,NaN
PB20.13.28_Comb28Ch12,2348327.641375,NaN,NaN
PB20.13.28_Comb28Ch13,2400436.406024,NaN,NaN
PB20.13.28_Comb28Ch14,2465133.671649,NaN,NaN
PB20.13.28_Comb28Ch15,2538223.271258,NaN,NaN
PB20.13.28_Comb28Ch16,2608642.582782,NaN,NaN
PB20.13.28_Comb28Ch17,2662811.283953,NaN,NaN
PB20.13.28_Comb28Ch18,2746047.978289,NaN,NaN
PB20.13.28_Comb28Ch19,2815856.93825,NaN,NaN
PB20.13.28_Comb28Ch20,2884445.195086,NaN,NaN
PB20.13.28_Comb28Ch21,2959365.849383,NaN,NaN
PB20.13.28_Comb28Ch22,3037033.085711,NaN,NaN
PB20.13.28_Comb28Ch23,3104400.639422,NaN,NaN
PB20.13.28_Comb28Ch24,3195800.785907,NaN,NaN
PB20.13.28_Comb28Ch25,3257675.175555,NaN,NaN
PB20.13.28_Comb28Ch26,3348464.970477,NaN,NaN
PB20.13.28_Comb28Ch27,3433609.013446,NaN,NaN
PB20.13.28_Comb28Ch28,3525238.041766,NaN,NaN
PB20.13.28_Comb28Ch29,3584594.731219,NaN,NaN
PB20.13.28_Comb28Ch30,3692932.133563,NaN,NaN
PB20.13.28_Comb28Ch31,3784332.280047,NaN,NaN
PB20.13.28_Comb28Ch32,3885955.815203,NaN,NaN
PB20.13.28_Comb28Ch33,3963851.933368,NaN,NaN
PB20.13.28_Comb28Ch34,4056549.076922,NaN,NaN
PB20.13.28_Comb28Ch35,4253921.513446,NaN,NaN
PB20.13.28_Comb28Ch36,4341812.138446,NaN,NaN
PB20.13.28_Comb28Ch37,4448699.955828,NaN,NaN
PB20.13.28_Comb28Ch38,4442901.615985,NaN,NaN
PB20.13.15_Comb06Ch01,1738891.606219,1738891.6015625,10.201732080858585
PB20.13.15_Comb06Ch02,2143630.986102,2143630.9814453125,12.09943305244447
PB20.13.15_Comb06Ch03,2287292.485125,2287292.48046875,17.91914930755887
PB20.13.15_Comb06Ch04,2809677.12868,2809677.1240234375,26.134384047917216
PB20.13.15_Comb06Ch05,3058090.214618,NaN,NaN
