Name,Nominal Frequency,Actual Frequency,Resistance
PB20.13.28_Comb21Ch01,1633834.843524,1633834.8388671875,1.376492057905122
PB20.13.28_Comb21Ch02,1660385.136493,1660385.1318359375,1.2814396686750487
PB20.13.28_Comb21Ch03,1699981.69411,1699981.689453125,2.357584019990308
PB20.13.28_Comb21Ch04,1753692.63161,1753692.626953125,1.3653475814698464
PB20.13.28_Comb21Ch05,1814193.730243,1814193.7255859375,1.4583310513115941
PB20.13.28_Comb21Ch06,1871643.071063,NaN,NaN
PB20.13.28_Comb21Ch07,1914138.798602,NaN,NaN
PB20.13.28_Comb21Ch08,1971740.727313,NaN,NaN
PB20.13.28_Comb21Ch09,2043838.505633,2043838.5009765625,1.6255370942350809
PB20.13.28_Comb21Ch10,2086868.290789,2086868.2861328125,1.0702635447160695
PB20.13.28_Comb21Ch11,2162323.002703,2162322.998046875,1.8838876982681725
PB20.13.28_Comb21Ch12,2214660.649188,2214660.64453125,1.529572557953179
PB20.13.28_Comb21Ch13,2264099.12575,2264099.12109375,2.906903168837455
PB20.13.28_Comb21Ch14,2326736.454852,2326736.4501953125,1.6398627633633336
PB20.13.28_Comb21Ch15,2382278.447039,2382278.4423828125,1.7317268667798191
PB20.13.28_Comb21Ch16,2444610.60036,2444610.595703125,1.6727500326762208
PB20.13.28_Comb21Ch17,2525100.712664,2525100.7080078125,1.9519438322688965
PB20.13.28_Comb21Ch18,2565078.740008,2565078.7353515625,2.4562637379939285
PB20.13.28_Comb21Ch19,2648391.728289,2648391.7236328125,1.6415443224520936
PB20.13.28_Comb21Ch20,2718963.627703,2718963.623046875,1.051989564116168
PB20.13.28_Comb21Ch21,2806625.370868,2806625.3662109375,1.4846476296760378
PB20.13.28_Comb21Ch22,2875976.567157,2875976.5625,1.7653301799878791
PB20.13.28_Comb21Ch23,2940750.126727,2940750.1220703125,1.669179702117057
PB20.13.28_Comb21Ch24,3018493.657,3018493.65234375,2.020346637622324
PB20.13.28_Comb21Ch25,3085250.859149,3085250.8544921875,1.687683703551117
PB20.13.28_Comb21Ch26,3143844.609149,3143844.6044921875,1.3672736961716436
PB20.13.28_Comb21Ch27,3249359.135516,3249359.130859375,1.6032226622444283
PB20.13.28_Comb21Ch28,3313293.461688,3313293.45703125,1.2478286541672818
PB20.13.28_Comb21Ch29,3409042.363055,3409042.3583984375,2.974916311064351
PB20.13.28_Comb21Ch30,3470382.695086,3470382.6904296875,2.4064008336243705
PB20.13.28_Comb21Ch31,3568191.532977,3568191.5283203125,1.5359592083869433
PB20.13.28_Comb21Ch32,3684005.741961,3684005.7373046875,1.7739619597318026
PB20.13.28_Comb21Ch33,3758087.16286,3758087.158203125,1.5653619773759262
PB20.13.28_Comb21Ch34,3822555.546649,3822555.5419921875,2.0556453544616073
PB20.13.28_Comb21Ch35,3924484.257586,3924484.2529296875,1.40375589706676
PB20.13.28_Comb21Ch36,4007568.364032,4007568.359375,1.3062754187813705
PB20.13.28_Comb21Ch37,4134063.72536,4134063.720703125,1.341710734768459
PB20.13.28_Comb21Ch38,4206466.679461,4206466.6748046875,1.2052183781873285
PB20.13.28_Comb21Ch39,4309463.505633,4309463.5009765625,2.2770224660276797
PB20.13.28_Comb28Ch01,1674041.752703,1674041.748046875,1.7271052151093
PB20.13.28_Comb28Ch02,1720657.353289,1720657.3486328125,1.3674433108031057
PB20.13.28_Comb28Ch03,1762847.905047,1762847.900390625,1.3268826407516294
PB20.13.28_Comb28Ch04,1819229.130633,1819229.1259765625,1.366086942386657
PB20.13.28_Comb28Ch05,1931762.699969,1931762.6953125,1.543833485032414
PB20.13.28_Comb28Ch06,1983489.994891,1983489.990234375,1.5385947024275604
PB20.13.28_Comb28Ch07,2039031.987078,2039031.982421875,1.5588521649767313
PB20.13.28_Comb28Ch08,2096405.033953,2096405.029296875,1.5621504442652823
PB20.13.28_Comb28Ch09,2151489.262469,2151489.2578125,1.0972146126500033
